id,Internal ID,sku,Display Name,Product Line,NSV1 ID,External ID,Delivery Lead Time,Launch Date,Brand,Platform,Line,Product Category,Product,Type,Item Fabric Type,Detailed Description,Unit Price,Display in Web Site,Department Name,Department Number,Piping,Paneling,Piping & Paneling - OLD/INACTIVE,URL FOR IMAGE,Fabric,Sorting Item,Fabric Category,Fabric Color,Warehouse Inventory,Product Class,Fill Type,Sactional Size,Stealth Tech Kit Category,POS SIZE VARIANT
39214,39214,AL4103,Sac Shrink Kit: Supersac,1002 - Sac Accessories,- None -,AL4103,2-4 Weeks,6/24/2019,Sac,Indoor,Sac Accessories,Sac Shrink Kits,Supersac,Quickship,No Fabric,- None -,65,T,Sac Accessories,1002,- None -,- None -,- None -,https://4979720.app.netsuite.com/core/media/media.nl?id=18157984&c=4979720&h=bpNNlZsrCihDWZuyh0v5sh030Ab0jVugCJfP4BR1COFqueao,- None -,No Fabric,- None -,AL4103,999,Merchandise,- None -,- None -,- None -,- None -
63985,63985,CB0339,BigOne Cover: Pine Quilted Velvet,1001 - Sac Covers,- None -,CB0339,6-8 Weeks,8/7/2023,Sac,Indoor,Cover,Sacs,BigOne,Quickship,Pine Quilted Velvet,BigOne Cover: Pine Quilted Velvet,400,T,Sac Covers,1001,- None -,- None -,- None -,https://4979720.app.netsuite.com/c.4979720/Images/CU6880_media_1.jpg,Velvet,Velvet,Velvet,Pine,999,Merchandise,- None -,- None -,- None -,- None -
48745,48745,CB5226,BigOne Cover: Bronze Wombat Phur,1001 - Sac Covers,- None -,CB5226,2-4 Weeks,11/9/2020,Sac,Indoor,Cover,Sacs,BigOne,Quickship,Bronze Wombat Phur,BigOne Cover: Bronze Wombat Phur,750,T,Sac Covers,1001,- None -,- None -,- None -,https://4979720.app.netsuite.com/core/media/media.nl?id=18161215&c=4979720&h=5-cQm8kzEPCFhgsYxzPvUXiqW2zojSbr2n6wReownyHZO28G,Wombat Phur,Phur,Phur,Bronze,999,Merchandise,- None -,- None -,- None -,- None -
52610,52610,CB7175,BigOne Cover: Midnight Mink Phur,1001 - Sac Covers,- None -,CB7175,2-4 Weeks,8/16/2021,Sac,Indoor,Cover,Sacs,BigOne,Quickship,Midnight Mink Phur,BigOne Cover: Midnight Mink Phur,650,T,Sac Covers,1001,- None -,- None -,- None -,https://4979720.app.netsuite.com/c.4979720/Images/A01AACBLR_media_1.jpg,Phur,Phur,Phur,Midnight Mink,999,Merchandise,- None -,- None -,- None -,- None -
52623,52623,CC0419,CitySac Cover: Glacier Mink Phur,1001 - Sac Covers,- None -,CC0419,6-8 Weeks,8/16/2021,Sac,Indoor,Cover,Sacs,Citysac,Quickship,Glacier Mink Phur,CitySac Cover: Glacier Mink Phur,325,T,Sac Covers,1001,- None -,- None -,- None -,https://4979720.app.netsuite.com/core/media/media.nl?id=18161411&c=4979720&h=y1d9I4yi9f0B58SdX_FxoH_v3xoJz6qkpeEhCAXGhisAl3Ec,Phur,Phur,Phur,Glacier Mink,999,Merchandise,- None -,- None -,- None -,- None -
63989,63989,CC0815,CitySac Cover: Pine Quilted Velvet,1001 - Sac Covers,- None -,CC0815,6-8 Weeks,8/7/2023,Sac,Indoor,Cover,Sacs,Citysac,Quickship,Pine Quilted Velvet,CitySac Cover: Pine Quilted Velvet,200,T,Sac Covers,1001,- None -,- None -,- None -,https://4979720.app.netsuite.com/core/media/media.nl?id=18161451&c=4979720&h=qKCpc7bBsHXbLyl9hEWQfqZXSxx-7J7iZCZ-vgMzG7AUiEbY,Velvet,Velvet,Velvet,Pine,999,Merchandise,- None -,- None -,- None -,- None -
48757,48757,CC4833,CitySac Cover: Charcoal Wombat Phur,1001 - Sac Covers,- None -,CC4833,6-8 Weeks,11/9/2020,Sac,Indoor,Cover,Sacs,Citysac,Quickship,Charcoal Wombat Phur,CitySac Cover: Charcoal Wombat Phur,475,T,Sac Covers,1001,- None -,- None -,- None -,https://4979720.app.netsuite.com/core/media/media.nl?id=18161303&c=4979720&h=o9_CUv6Q2k_Bor483obB4iBUc3oTR0buEXJn9TTDHYLfjuBi,Wombat Phur,Phur,Phur,Charcoal,999,Merchandise,- None -,- None -,- None -,- None -
55067,55067,CC5982,CitySac Cover: Alpine Swirl Phur,1001 - Sac Covers,- None -,CC5982,2-4 Weeks,1/10/2021,Sac,Indoor,Cover,Sacs,Citysac,Quickship,Alpine Swirl Phur,CitySac Cover: Alpine Swirl Phur,200,T,Sac Covers,1001,- None -,- None -,- None -,https://4979720.app.netsuite.com/core/media/media.nl?id=18161475&c=4979720&h=Nz2ECwBBT-OUJV7I_J5IUf-GobLgWcRnoYtfcf1BCmzq7kHy,Swirl Phur,Phur,Phur,Alpine,999,Merchandise,- None -,- None -,- None -,- None -
52614,52614,CC6180,CitySac Cover: Midnight Mink Phur,1001 - Sac Covers,- None -,CC6180,6-8 Weeks,8/16/2021,Sac,Indoor,Cover,Sacs,Citysac,Quickship,Midnight Mink Phur,CitySac Cover: Midnight Mink Phur,325,T,Sac Covers,1001,- None -,- None -,- None -,https://4979720.app.netsuite.com/core/media/media.nl?id=18161459&c=4979720&h=8xvrAW3yWwY2jJs_CnAfnM7FT47Yi0nJYjflQEHr0N6DZlOo,Phur,Phur,Phur,Midnight Mink,999,Merchandise,- None -,- None -,- None -,- None -
48749,48749,CC9849,CitySac Cover: Bronze Wombat Phur,1001 - Sac Covers,- None -,CC9849,2-4 Weeks,11/9/2020,Sac,Indoor,Cover,Sacs,Citysac,Quickship,Bronze Wombat Phur,CitySac Cover: Bronze Wombat Phur,475,T,Sac Covers,1001,- None -,- None -,- None -,https://4979720.app.netsuite.com/core/media/media.nl?id=18161398&c=4979720&h=Ii3RRtIngg99VQlWzJpnvQJ82vmuljn7xeNlJhQzmfGGRF2P,Wombat Phur,Phur,Phur,Bronze,999,Merchandise,- None -,- None -,- None -,- None -
48755,48755,CM2035,MovieSac Cover: Charcoal Wombat Phur,1001 - Sac Covers,- None -,CM2035,2-4 Weeks,11/9/2020,Sac,Indoor,Cover,Sacs,Moviesac,Quickship,Charcoal Wombat Phur,MovieSac Cover: Charcoal Wombat Phur,550,T,Sac Covers,1001,- None -,- None -,- None -,https://4979720.app.netsuite.com/core/media/media.nl?id=18161628&c=4979720&h=wxetYB62OclvqjmHY9SJ6tp66a9YUxo6URi8EWomq1RWTK3D,Wombat Phur,Phur,Phur,Charcoal,999,Merchandise,- None -,- None -,- None -,- None -
33270,33270,CM2242,MovieSac Cover: Wombat Phur,1001 - Sac Covers,57806,CM2242,2-4 Weeks,5/23/2020,Sac,Indoor,Cover,Sacs,Moviesac,Quickship,Wombat Phur,- None -,550,T,Sac Covers,1001,- None -,- None -,- None -,https://4979720.app.netsuite.com/core/media/media.nl?id=18161566&c=4979720&h=Js1qkyB2qlNPMLIQWf_qG-qxufpE8v0n9naTRmXOJbacy4Zh,Wombat Phur,Phur,Phur,Wombat,999,Merchandise,- None -,- None -,- None -,- None -
52621,52621,CM4823,MovieSac Cover: Glacier Mink Phur,1001 - Sac Covers,- None -,CM4823,2-4 Weeks,8/16/2021,Sac,Indoor,Cover,Sacs,Moviesac,Quickship,Glacier Mink Phur,MovieSac Cover: Glacier Mink Phur,500,T,Sac Covers,1001,- None -,- None -,- None -,https://4979720.app.netsuite.com/c.4979720/Images/A03AACBLS_media_1.jpg,Phur,Phur,Phur,Glacier Mink,999,Merchandise,- None -,- None -,- None -,- None -
63987,63987,CM6191,MovieSac Cover: Pine Quilted Velvet,1001 - Sac Covers,- None -,CM6191,2-4 Weeks,8/7/2023,Sac,Indoor,Cover,Sacs,Moviesac,Quickship,Pine Quilted Velvet,MovieSac Cover: Pine Quilted Velvet,275,T,Sac Covers,1001,- None -,- None -,- None -,https://4979720.app.netsuite.com/core/media/media.nl?id=18161569&c=4979720&h=ryxEkygwneGnUIxhelWeRxqfmFO5gZKMAciIa42sNA9KXqdb,Velvet,Velvet,Velvet,Pine,999,Merchandise,- None -,- None -,- None -,- None -
52612,52612,CM7879,MovieSac Cover: Midnight Mink Phur,1001 - Sac Covers,- None -,CM7879,2-4 Weeks,8/16/2021,Sac,Indoor,Cover,Sacs,Moviesac,Quickship,Midnight Mink Phur,MovieSac Cover: Midnight Mink Phur,500,T,Sac Covers,1001,- None -,- None -,- None -,https://4979720.app.netsuite.com/c.4979720/Images/A03AACBLR_media_1.jpg,Phur,Phur,Phur,Midnight Mink,999,Merchandise,- None -,- None -,- None -,- None -
54963,54963,CM7984,MovieSac Cover: Vintage Blue Rained Chenille,1001 - Sac Covers,- None -,CM7984,6-8 Weeks,1/1/2022,Sac,Indoor,Cover,Sacs,Moviesac,Quickship,Vintage Blue Rained Chenille,MovieSac Cover: Vintage Blue Rained Chenille,275,T,Sac Covers,1001,- None -,- None -,- None -,https://4979720.app.netsuite.com/core/media/media.nl?id=18161906&c=4979720&h=57UU_2PlXQtRwD15GR7CPGVkdzWNleWPJ48qzks9C5E35jL4,Rained Chenille,Chenille,Chenille,Vintage Blue,999,Merchandise,- None -,- None -,- None -,- None -
48747,48747,CM8441,MovieSac Cover: Bronze Wombat Phur,1001 - Sac Covers,- None -,CM8441,6-8 Weeks,11/9/2020,Sac,Indoor,Cover,Sacs,Moviesac,Quickship,Bronze Wombat Phur,MovieSac Cover: Bronze Wombat Phur,550,T,Sac Covers,1001,- None -,- None -,- None -,https://4979720.app.netsuite.com/core/media/media.nl?id=18161676&c=4979720&h=ashl0vw11_ltz2YZGdw6C0hgq5T7JARuj_zB2ufb3jqJQqf0,Wombat Phur,Phur,Phur,Bronze,999,Merchandise,- None -,- None -,- None -,- None -
48748,48748,CP0452,PillowSac Cover: Bronze Wombat Phur,1001 - Sac Covers,- None -,CP0452,2-4 Weeks,11/9/2020,Sac,Indoor,Cover,Sacs,Pillowsac,Quickship,Bronze Wombat Phur,PillowSac Cover: Bronze Wombat Phur,500,T,Sac Covers,1001,- None -,- None -,- None -,https://4979720.app.netsuite.com/core/media/media.nl?id=18161596&c=4979720&h=D6tr7JIOohXEVT6PrI7qSyMac9-3EaPdFGGPd0yPFz7Fwr7_,Wombat Phur,Phur,Phur,Bronze,999,Merchandise,- None -,- None -,- None -,- None -
52622,52622,CP0827,PillowSac Cover: Glacier Mink Phur,1001 - Sac Covers,- None -,CP0827,2-4 Weeks,8/16/2021,Sac,Indoor,Cover,Sacs,Pillowsac,Quickship,Glacier Mink Phur,PillowSac Cover: Glacier Mink Phur,350,T,Sac Covers,1001,- None -,- None -,- None -,https://4979720.app.netsuite.com/core/media/media.nl?id=18161699&c=4979720&h=_FWDSKzEpi6EPk227jLOfvKnuMW6Xg4fBPAqDawgAbEd0uJz,Phur,Phur,Phur,Glacier Mink,999,Merchandise,- None -,- None -,- None -,- None -
63988,63988,CP1582,PillowSac Cover: Pine Quilted Velvet,1001 - Sac Covers,- None -,CP1582,2-4 Weeks,8/7/2023,Sac,Indoor,Cover,Sacs,Pillowsac,Quickship,Pine Quilted Velvet,PillowSac Cover: Pine Quilted Velvet,225,T,Sac Covers,1001,- None -,- None -,- None -,https://4979720.app.netsuite.com/core/media/media.nl?id=18161588&c=4979720&h=JOHpvCW9KmTfbai24b02mbUphCd7P1Rq2vwBbE8E6C8_ypqi,Velvet,Velvet,Velvet,Pine,999,Merchandise,- None -,- None -,- None -,- None -
55066,55066,CP3261,PillowSac Cover: Alpine Swirl Phur,1001 - Sac Covers,- None -,CP3261,2-4 Weeks,1/10/2021,Sac,Indoor,Cover,Sacs,Pillowsac,Quickship,Alpine Swirl Phur,PillowSac Cover: Alpine Swirl Phur,225,T,Sac Covers,1001,- None -,- None -,- None -,https://4979720.app.netsuite.com/core/media/media.nl?id=18161551&c=4979720&h=fCdy7koMNQXV-vNNNrZxYLBVdsitMIitIRszTptMXVOHz6rC,Swirl Phur,Phur,Phur,Alpine,999,Merchandise,- None -,- None -,- None -,- None -
48754,48754,CU3676,SuperSac Cover: Charcoal Wombat Phur,1001 - Sac Covers,- None -,CU3676,2-4 Weeks,11/9/2020,Sac,Indoor,Cover,Sacs,Supersac,Quickship,Charcoal Wombat Phur,SuperSac Cover: Charcoal Wombat Phur,625,T,Sac Covers,1001,- None -,- None -,- None -,https://4979720.app.netsuite.com/core/media/media.nl?id=18161967&c=4979720&h=e1nfpM4SQAU9ZdkU4oHnURb_JVrHUyQ-epqmC5f3wvn1erc5,Wombat Phur,Phur,Phur,Charcoal,999,Merchandise,- None -,- None -,- None -,- None -
54962,54962,CU4032,SuperSac Cover: Vintage Blue Rained Chenille,1001 - Sac Covers,- None -,CU4032,2-4 Weeks,1/1/2022,Sac,Indoor,Cover,Sacs,Supersac,Quickship,Vintage Blue Rained Chenille,SuperSac Cover: Vintage Blue Rained Chenille,325,T,Sac Covers,1001,- None -,- None -,- None -,https://4979720.app.netsuite.com/core/media/media.nl?id=18161991&c=4979720&h=MEBeb3ygyT1MYQQ2p-C2LPHRW-1PKK3Rb-mGiJVaR2drRGxT,Rained Chenille,Chenille,Chenille,Vintage Blue,999,Merchandise,- None -,- None -,- None -,- None -
52611,52611,CU4360,SuperSac Cover: Midnight Mink Phur,1001 - Sac Covers,- None -,CU4360,2-4 Weeks,8/16/2021,Sac,Indoor,Cover,Sacs,Supersac,Quickship,Midnight Mink Phur,SuperSac Cover: Midnight Mink Phur,550,T,Sac Covers,1001,- None -,- None -,- None -,https://4979720.app.netsuite.com/c.4979720/Images/A02AACBLR_media_1.jpg,Phur,Phur,Phur,Midnight Mink,999,Merchandise,- None -,- None -,- None -,- None -
48746,48746,CU5725,SuperSac Cover: Bronze Wombat Phur,1001 - Sac Covers,- None -,CU5725,2-4 Weeks,11/9/2020,Sac,Indoor,Cover,Sacs,Supersac,Quickship,Bronze Wombat Phur,SuperSac Cover: Bronze Wombat Phur,625,T,Sac Covers,1001,- None -,- None -,- None -,https://4979720.app.netsuite.com/core/media/media.nl?id=18162186&c=4979720&h=LuLU5G0lT_qdpX6tRtC38JvrexkBcW9RX2IJXOQYp-sJqc8Y,Wombat Phur,Phur,Phur,Bronze,999,Merchandise,- None -,- None -,- None -,- None -
63986,63986,CU6880,SuperSac Cover: Pine Quilted Velvet,1001 - Sac Covers,- None -,CU6880,6-8 Weeks,8/7/2023,Sac,Indoor,Cover,Sacs,Supersac,Quickship,Pine Quilted Velvet,SuperSac Cover: Pine Quilted Velvet,325,T,Sac Covers,1001,- None -,- None -,- None -,https://4979720.app.netsuite.com/core/media/media.nl?id=18162245&c=4979720&h=BMoIbwWeFakcdkrZXKO-vjRPOkAPKtKG7SRe3-1atFfWGJ6m,Velvet,Velvet,Velvet,Pine,999,Merchandise,- None -,- None -,- None -,- None -
52620,52620,CU9946,SuperSac Cover: Glacier Mink Phur,1001 - Sac Covers,- None -,CU9946,2-4 Weeks,8/16/2021,Sac,Indoor,Cover,Sacs,Supersac,Quickship,Glacier Mink Phur,SuperSac Cover: Glacier Mink Phur,550,T,Sac Covers,1001,- None -,- None -,- None -,https://4979720.app.netsuite.com/c.4979720/Images/A02AACBLS_media_1.jpg,Phur,Phur,Phur,Glacier Mink,999,Merchandise,- None -,- None -,- None -,- None -
86879,86879,EH9631,Sactionals Insert Protector: Wedge Seat Cushion,1006 - Sactionals Accessories,- None -,EH9631,12-14 Weeks,3/18/2025,Sactional,Indoor,Sactional Accessories,Insert Protectors,Wedge Seat Cushion,Quickship,No Fabric,Sactionals Insert Protector: Wedge Seat Cushion,45,T,Sactionals Accessories,1006,- None -,- None -,- None -,- None -,- None -,No Fabric,- None -,EH9631,999,Merchandise,- None -,6 Series,- None -,- None -
92804,92804,FB1111,Snugg Swept Arm Cover: L: Moss Etched Chenille,1036 - Snugg Covers,- None -,FB1111,2-4 Weeks,5/14/2025,Snugg,Indoor,Cover,Arms,Swept Arm Cover: L,Quickship,Moss Etched Chenille,Snugg Swept Arm Cover: L: Moss Etched Chenille,70,T,Snugg Covers,1036,- None -,- None -,- None -,https://4979720.app.netsuite.com/core/media/media.nl?id=18271429&c=4979720&h=ooCAlvhKwo27_wWXx-4sfM0eeAqbzAwVDaqJDFDi8Xyxa0dN,Etched Chenille,Chenille,Chenille,Moss,999,Merchandise,- None -,- None -,- None -,- None -
92756,92756,FB6166,Snugg Tapered Arm Cover: R: Moss Etched Chenille,1036 - Snugg Covers,- None -,FB6166,2-4 Weeks,5/14/2025,Snugg,Indoor,Cover,Arms,Tapered Arm Cover: R,Quickship,Moss Etched Chenille,Snugg Tapered Arm Cover: R: Moss Etched Chenille,70,T,Snugg Covers,1036,- None -,- None -,- None -,https://4979720.app.netsuite.com/core/media/media.nl?id=18271388&c=4979720&h=xE-j79_X6bYkrKgBPFgNMnJJvk1xg5tNX77M-G1bDg8xvPzM,Etched Chenille,Chenille,Chenille,Moss,999,Merchandise,- None -,- None -,- None -,- None -
92792,92792,FB6537,Snugg Tapered Arm Cover: L: Moss Etched Chenille,1036 - Snugg Covers,- None -,FB6537,2-4 Weeks,5/14/2025,Snugg,Indoor,Cover,Arms,Tapered Arm Cover: L,Quickship,Moss Etched Chenille,Snugg Tapered Arm Cover: L: Moss Etched Chenille,70,T,Snugg Covers,1036,- None -,- None -,- None -,https://4979720.app.netsuite.com/core/media/media.nl?id=18271425&c=4979720&h=nn1hSihgAG-J6a_7IJ8TXGjEg-94AjBLofDAm9bVQN1xKuBm,Etched Chenille,Chenille,Chenille,Moss,999,Merchandise,- None -,- None -,- None -,- None -
92768,92768,FB9136,Snugg Swept Arm Cover: R: Moss Etched Chenille,1036 - Snugg Covers,- None -,FB9136,2-4 Weeks,5/14/2025,Snugg,Indoor,Cover,Arms,Swept Arm Cover: R,Quickship,Moss Etched Chenille,Snugg Swept Arm Cover: R: Moss Etched Chenille,70,T,Snugg Covers,1036,- None -,- None -,- None -,https://4979720.app.netsuite.com/core/media/media.nl?id=18271437&c=4979720&h=0YrUTeXLn2gZpdaeOviptLHNApt5Z2M7ZxLvgy0HuW-FTF7j,Etched Chenille,Chenille,Chenille,Moss,999,Merchandise,- None -,- None -,- None -,- None -
92720,92720,FG1808,Snugg Loveseat Seat Cover Set: Moss Etched Chenille,1036 - Snugg Covers,- None -,FG1808,4-6 Weeks,5/14/2025,Snugg,Indoor,Cover,Seats,Loveseat Seat Set,Quickship,Moss Etched Chenille,Snugg Loveseat Seat Cover Set: Moss Etched Chenille,560,T,Snugg Covers,1036,- None -,- None -,- None -,https://4979720.app.netsuite.com/core/media/media.nl?id=18267633&c=4979720&h=DZZcNhdc06I551SpMRZollxvSYrCasjJo5FZbqnuIQhGWCg-,Etched Chenille,Chenille,Chenille,Moss,999,Merchandise,- None -,- None -,- None -,- None -
92696,92696,FG3638,Snugg 3-Cushion Sofa Seat Cover Set: Moss Etched Chenille,1036 - Snugg Covers,- None -,FG3638,2-4 Weeks,5/14/2025,Snugg,Indoor,Cover,Seats,3-Cushion Sofa Seat Set,Quickship,Moss Etched Chenille,Snugg 3-Cushion Sofa Seat Cover Set: Moss Etched Chenille,610,T,Snugg Covers,1036,- None -,- None -,- None -,https://4979720.app.netsuite.com/core/media/media.nl?id=18267553&c=4979720&h=TEF7fUm5iixCBXyzwOCR0XITgz1j_OnUYOrAQyqLM09Mzel-,Etched Chenille,Chenille,Chenille,Moss,999,Merchandise,- None -,- None -,- None -,- None -
92708,92708,FG7508,Snugg 2-Cushion Sofa Seat Cover Set: Moss Etched Chenille,1036 - Snugg Covers,- None -,FG7508,4-6 Weeks,5/14/2025,Snugg,Indoor,Cover,Seats,2-Cushion Sofa Seat Set,Quickship,Moss Etched Chenille,Snugg 2-Cushion Sofa Seat Cover Set: Moss Etched Chenille,610,T,Snugg Covers,1036,- None -,- None -,- None -,https://4979720.app.netsuite.com/core/media/media.nl?id=18267586&c=4979720&h=_iLGd0cml-gfbOxlAzlyU57lx7puRloN3nRWGW9QSL8nw49r,Etched Chenille,Chenille,Chenille,Moss,999,Merchandise,- None -,- None -,- None -,- None -
92874,92874,FW5294,Individual Snugg 3-Cushion Sofa Seat Cushion Cover: Oyster Etched Chenille,1036 - Snugg Covers,- None -,FW5294,16-18 Weeks,5/14/2025,Snugg,Indoor,Cover,Components,3-Cushion Sofa Seat Cushion,Quickship,Oyster Etched Chenille,Individual Snugg 3-Cushion Sofa Seat Cushion Cover: Oyster Etched Chenille,70,T,Snugg Covers,1036,- None -,- None -,- None -,https://4979720.app.netsuite.com/core/media/media.nl?id=18267552&c=4979720&h=VZhuitVVKgpTlmzLwTqgowyMHlPZ_D2gt0oihBNBm3gfbQ3_,Etched Chenille,Chenille,Chenille,Oyster,999,Merchandise,- None -,- None -,- None -,- None -
105764,105764,GM0886,NEW Sactionals Deep Reclining Seat Insert Set: Lovesoft,1004 - Sactional Indoor Inserts,- None -,GM0886,2-4 Weeks,,Sactional,Indoor,Insert,Seats,Deep Reclining Seat,Quickship,No Fabric,New New Sactionals Deep Reclining Seat Insert Set: Lovesoft,835,T,Sactional Indoor Inserts,1004,- None -,- None -,- None -,- None -,- None -,Lovesoft,- None -,GM0886,999,Merchandise,Lovesoft,6 Series,- None -,- None -
89824,89824,GM2924,Sactionals Reclining Seat Remote,1021 - Parts,- None -,GM2924,4-6 Weeks,,Sactional,Indoor,Sactional Spare Parts,Remote,Reclining Seat Remote,Quickship,- None -,Sactionals Reclining Seat Remote,50,T,Parts,1021,- None -,- None -,- None -,https://4979720.app.netsuite.com/core/media/media.nl?id=18138752&c=4979720&h=AfOZHodGQbll-wWBURvx7Wya33aINoXVOef6-f47t8xEah1b,- None -,Sactionals Reclining Seat Remote,- None -,GM2924,999,Merchandise,- None -,6 Series,- None -,- None -
96791,96791,HA1005,Swept Arm Side Cover: R: Jute Brushed Weave,1005 - Sactionals Covers,- None -,HA1005,2-4 Weeks,10/21/2025,Sactional,Indoor,Cover,Sides,Swept Arm: R,Quickship,Jute Brushed Weave,Swept Arm Side Cover: R: Jute Brushed Weave,195,T,Sactionals Covers,1005,- None -,- None -,- None -,https://4979720.app.netsuite.com/core/media/media.nl?id=18428939&c=4979720&h=iFvIoqgHDxCxgcUxbQ0PcI4aE1pz9mH_7qOy-75-16WYMdGX,Brushed Weave,Weave,Weave,Jute,999,Merchandise,- None -,6 Series,- None -,- None -
40229,40229,HA1649,Deep Storage Seat Cover Set: Charcoal Grey Corded Velvet,1005 - Sactionals Covers,- None -,HA1649,2-4 Weeks,6/29/2020,Sactional,Indoor,Cover,Seats,Deep Storage Seat,Quickship,Charcoal Grey Corded Velvet,Deep Storage Seat Cover Set: Charcoal Grey Corded Velvet,450,T,Sactionals Covers,1005,- None -,- None -,- None -,https://4979720.app.netsuite.com/core/media/media.nl?id=18163016&c=4979720&h=5xtedDmkKhe8GJdjCUUOrunI4PRfWJ3Mk39E0Ag-j2BwM9IE,Corded Velvet,Velvet,Velvet,Charcoal Grey,999,Merchandise,- None -,6 Series,- None -,- None -
94732,94732,HA1736,Deep Storage Seat Cover Set: Moss Etched Chenille,1005 - Sactionals Covers,- None -,HA1736,6-8 Weeks,,Sactional,Indoor,Cover,Seats,Deep Storage Seat,Quickship,Moss Etched Chenille,Deep Storage Seat Cover Set: Moss Etched Chenille,550,T,Sactionals Covers,1005,- None -,- None -,- None -,https://4979720.app.netsuite.com/c.4979720/Images/CoversBatch1CSTMRefresh/C28CELBMQ_media_1.jpg,Etched Chenille,Chenille,Chenille,Moss,999,Merchandise,- None -,6 Series,- None -,- None -
